OrderID,Date,Category,Region,Channel,UnitsSold,UnitPrice,Discount,Revenue
100001,2023-01-01,Electronics,North,In-Store,2,263.95,0.0,527.9
100024,2023-01-01,Electronics,South,In-Store,1,303.29,0.0,303.29
100025,2023-01-01,Beauty & Health,North,Online,2,43.53,0.0,87.06
100026,2023-01-01,Books & Media,South,In-Store,1,18.44,0.0,18.44
100027,2023-01-01,Clothing,West,In-Store,2,48.85,0.0,97.7
100028,2023-01-01,Home & Garden,South,Online,1,40.48,0.0,40.48
100030,2023-01-01,Books & Media,South,In-Store,2,22.01,0.0,44.02
100031,2023-01-01,Beauty & Health,South,In-Store,1,39.57,0.0,39.57
100032,2023-01-01,Clothing,East,Online,1,54.92,0.0,54.92
100023,2023-01-01,Clothing,East,Online,1,57.9,0.0,57.9
100033,2023-01-01,Electronics,South,In-Store,1,249.76,0.0,249.76
100035,2023-01-01,Home & Garden,East,Online,3,79.82,0.0,239.46
100036,2023-01-01,Sports & Outdoors,South,Online,2,64.96,0.0,129.92
100037,2023-01-01,Sports & Outdoors,West,In-Store,2,38.6,0.0,77.2
100038,2023-01-01,Home & Garden,Central,Online,1,76.11,0.0,76.11
100039,2023-01-01,Electronics,South,In-Store,1,244.44,0.0,244.44
100040,2023-01-01,Electronics,West,Online,1,162.55,0.0,162.55
100041,2023-01-01,Clothing,West,Online,1,52.95,0.0,52.95
100042,2023-01-01,Clothing,East,Online,1,40.96,0.1,36.86
100034,2023-01-01,Clothing,East,In-Store,1,41.55,0.0,41.55
100022,2023-01-01,Clothing,East,Online,1,44.33,0.05,42.11
100029,2023-01-01,Home & Garden,North,Online,2,81.01,0.0,162.02
100020,2023-01-01,Electronics,Central,Online,1,263.05,0.0,263.05
100002,2023-01-01,Electronics,North,Online,1,300.53,0.0,300.53
100003,2023-01-01,Clothing,South,Online,1,52.35,0.0,52.35
100021,2023-01-01,Sports & Outdoors,South,Online,4,63.09,0.0,252.36
100005,2023-01-01,Sports & Outdoors,East,Online,3,56.48,0.1,152.5
100006,2023-01-01,Sports & Outdoors,North,Online,1,59.64,0.1,53.68
100007,2023-01-01,Clothing,North,Online,1,50.1,0.1,45.09
100008,2023-01-01,Sports & Outdoors,Central,In-Store,3,51.55,0.0,154.65
100009,2023-01-01,Electronics,Central,Online,1,199.55,0.0,199.55
100010,2023-01-01,Home & Garden,West,Online,1,54.67,0.0,54.67
100004,2023-01-01,Books & Media,East,In-Store,1,13.9,0.05,13.2
100012,2023-01-01,Electronics,East,Online,2,294.39,0.05,559.34
100013,2023-01-01,Sports & Outdoors,East,Online,1,71.4,0.0,71.4
100014,2023-01-01,Books & Media,South,Online,2,26.91,0.05,51.13
100015,2023-01-01,Clothing,East,In-Store,1,45.78,0.0,45.78
100016,2023-01-01,Clothing,South,Online,2,42.31,0.0,84.62
100017,2023-01-01,Electronics,North,In-Store,2,295.77,0.0,591.54
100018,2023-01-01,Books & Media,South,Online,2,21.32,0.0,42.64
100019,2023-01-01,Clothing,East,Online,1,47.67,0.0,47.67
100011,2023-01-01,Sports & Outdoors,West,Online,2,66.99,0.0,133.98
100062,2023-01-02,Home & Garden,West,In-Store,1,88.45,0.0,88.45
100063,2023-01-02,Clothing,South,Online,1,42.07,0.05,39.97
100064,2023-01-02,Beauty & Health,South,In-Store,1,57.78,0.0,57.78
100065,2023-01-02,Home & Garden,South,In-Store,1,66.91,0.0,66.91
100066,2023-01-02,Books & Media,North,Online,2,28.37,0.05,53.9
100067,2023-01-02,Electronics,Central,In-Store,2,266.23,0.0,532.46
100068,2023-01-02,Books & Media,East,Online,2,26.7,0.0,53.4
100072,2023-01-02,Clothing,West,In-Store,1,37.08,0.0,37.08
100070,2023-01-02,Clothing,East,Online,3,34.41,0.0,103.23
100071,2023-01-02,Home & Garden,South,Online,1,103.65,0.0,103.65
100073,2023-01-02,Sports & Outdoors,East,Online,1,46.75,0.0,46.75
100074,2023-01-02,Clothing,Central,Online,2,51.85,0.0,103.7
100075,2023-01-02,Electronics,North,Online,1,292.18,0.0,292.18
100061,2023-01-02,Home & Garden,South,In-Store,1,105.77,0.0,105.77
100069,2023-01-02,Beauty & Health,East,In-Store,1,35.31,0.0,35.31
100060,2023-01-02,Electronics,Central,Online,1,208.77,0.0,208.77
100058,2023-01-02,Electronics,South,In-Store,1,303.03,0.0,303.03
100044,2023-01-02,Electronics,East,Online,1,258.81,0.0,258.81
100043,2023-01-02,Sports & Outdoors,South,Online,1,62.79,0.0,62.79
100059,2023-01-02,Sports & Outdoors,West,Online,1,45.14,0.0,45.14
100045,2023-01-02,Electronics,West,Online,1,205.34,0.0,205.34
100046,2023-01-02,Electronics,East,Online,1,233.26,0.0,233.26
100047,2023-01-02,Sports & Outdoors,West,Online,1,60.18,0.0,60.18
100049,2023-01-02,Clothing,East,In-Store,1,41.99,0.0,41.99
100050,2023-01-02,Clothing,West,Online,4,42.14,0.0,168.56
100048,2023-01-02,Electronics,Central,In-Store,1,272.1,0.0,272.1
100052,2023-01-02,Clothing,North,Online,4,33.48,0.0,133.92
100053,2023-01-02,Books & Media,North,In-Store,1,18.08,0.0,18.08
100054,2023-01-02,Clothing,Central,Online,1,26.16,0.0,26.16
100055,2023-01-02,Sports & Outdoors,Central,In-Store,3,66.81,0.0,200.43
100056,2023-01-02,Sports & Outdoors,North,In-Store,1,61.78,0.0,61.78
100057,2023-01-02,Home & Garden,South,Online,1,88.02,0.0,88.02
100051,2023-01-02,Clothing,North,Online,2,38.42,0.05,73.0
100094,2023-01-03,Clothing,South,Online,2,60.06,0.1,108.11
100091,2023-01-03,Books & Media,North,Online,1,20.51,0.0,20.51
100092,2023-01-03,Home & Garden,East,Online,1,72.3,0.0,72.3
100093,2023-01-03,Electronics,East,In-Store,2,212.38,0.0,424.76
100095,2023-01-03,Electronics,East,In-Store,1,178.3,0.05,169.38
100087,2023-01-03,Books & Media,East,In-Store,1,21.65,0.0,21.65
100097,2023-01-03,Electronics,Central,Online,1,258.91,0.0,258.91
100098,2023-01-03,Home & Garden,North,Online,2,80.57,0.0,161.14
100099,2023-01-03,Sports & Outdoors,Central,Online,1,65.66,0.0,65.66
100100,2023-01-03,Electronics,North,Online,2,282.55,0.0,565.1
100101,2023-01-03,Electronics,East,Online,1,171.97,0.0,171.97
100096,2023-01-03,Home & Garden,East,Online,1,76.94,0.0,76.94
100090,2023-01-03,Clothing,West,In-Store,1,46.05,0.0,46.05
100083,2023-01-03,Electronics,West,In-Store,1,260.93,0.0,260.93
100088,2023-01-03,Books & Media,East,In-Store,3,25.37,0.0,76.11
100076,2023-01-03,Beauty & Health,North,Online,4,27.54,0.0,110.16
100077,2023-01-03,Clothing,South,Online,1,49.16,0.0,49.16
100078,2023-01-03,Clothing,North,Online,1,35.63,0.0,35.63
100089,2023-01-03,Home & Garden,East,Online,2,66.1,0.0,132.2
100080,2023-01-03,Beauty & Health,Central,Online,1,32.18,0.0,32.18
100079,2023-01-03,Home & Garden,Central,Online,1,69.66,0.0,69.66
100082,2023-01-03,Books & Media,North,Online,1,26.11,0.0,26.11
100084,2023-01-03,Sports & Outdoors,South,Online,2,54.19,0.0,108.38
100085,2023-01-03,Clothing,West,Online,2,37.15,0.0,74.3
100086,2023-01-03,Electronics,East,In-Store,1,216.45,0.0,216.45
100081,2023-01-03,Clothing,South,In-Store,5,44.03,0.0,220.15
100122,2023-01-04,Sports & Outdoors,Central,In-Store,1,55.37,0.0,55.37
100118,2023-01-04,Sports & Outdoors,Central,In-Store,1,49.43,0.0,49.43
100119,2023-01-04,Sports & Outdoors,East,In-Store,2,55.77,0.0,111.54
100120,2023-01-04,Home & Garden,East,In-Store,1,73.19,0.0,73.19
100121,2023-01-04,Home & Garden,North,In-Store,2,38.83,0.0,77.66
100123,2023-01-04,Clothing,Central,Online,1,29.88,0.0,29.88
100117,2023-01-04,Clothing,North,In-Store,1,55.93,0.0,55.93
100125,2023-01-04,Books & Media,North,Online,1,17.59,0.0,17.59
100126,2023-01-04,Beauty & Health,South,Online,1,44.11,0.0,44.11
100127,2023-01-04,Books & Media,East,Online,1,15.06,0.0,15.06
100128,2023-01-04,Electronics,East,Online,2,195.03,0.0,390.06
100129,2023-01-04,Books & Media,Central,In-Store,1,19.74,0.05,18.75
100124,2023-01-04,Clothing,East,Online,2,39.55,0.0,79.1
100116,2023-01-04,Clothing,North,Online,1,52.25,0.0,52.25
100110,2023-01-04,Electronics,East,In-Store,1,349.2,0.0,349.2
100114,2023-01-04,Beauty & Health,East,In-Store,1,39.47,0.0,39.47
100102,2023-01-04,Sports & Outdoors,East,Online,1,62.48,0.0,62.48
100104,2023-01-04,Electronics,South,Online,1,291.99,0.0,291.99
100105,2023-01-04,Electronics,Central,Online,1,289.87,0.0,289.87
100106,2023-01-04,Books & Media,East,Online,2,20.58,0.0,41.16
100107,2023-01-04,Electronics,West,In-Store,1,282.03,0.0,282.03
100103,2023-01-04,Clothing,East,Online,1,47.03,0.0,47.03
100109,2023-01-04,Clothing,West,Online,1,62.97,0.0,62.97
100115,2023-01-04,Sports & Outdoors,East,Online,1,63.0,0.0,63.0
100111,2023-01-04,Electronics,Central,In-Store,1,272.58,0.0,272.58
100112,2023-01-04,Clothing,West,Online,3,50.79,0.0,152.37
100113,2023-01-04,Books & Media,North,Online,2,23.05,0.0,46.1
100108,2023-01-04,Home & Garden,South,In-Store,3,66.96,0.0,200.88
100142,2023-01-05,Clothing,North,In-Store,2,54.8,0.0,109.6
100150,2023-01-05,Sports & Outdoors,Central,Online,1,57.33,0.0,57.33
100149,2023-01-05,Clothing,Central,Online,1,46.32,0.0,46.32
100148,2023-01-05,Home & Garden,South,In-Store,2,65.45,0.0,130.9
100147,2023-01-05,Electronics,South,In-Store,2,205.06,0.0,410.12
100146,2023-01-05,Electronics,East,In-Store,1,307.57,0.0,307.57
100145,2023-01-05,Clothing,East,In-Store,2,54.93,0.0,109.86
100144,2023-01-05,Sports & Outdoors,South,Online,1,60.46,0.0,60.46
